setting,dialog,metadata,summary,Violations,Quality
Travel and Location,"<BEGIN CONVERSATION>
Jasmine: What time is your flight?
Martin: 9:55 p.m.
Claire: Landing at Stansted at 10 p.m.
Jasmine: What? 5 minute flight?
Martin: Ah the time zone lol
Claire: We should be in Cambridge before midnight
Martin: Depending which train we manage to catch
Jasmine: We have the e-Passports so maybe the border check will be faster
Martin: Last time it went really fast even though the lines were big
Claire: Let me know when you're on the train
Jasmine: I'll prepare some food
Claire: That's really kind of you
<END CONVERSATION>","<BEGIN METADATA>

Context: Friends coordinating travel plans
Setting: Travel and Location
Elements:

1. Travel and Location:
    1. travel.high.GPS_data.current_location:
        - ""Landing at Stansted""
    2. travel.medium.overview_of_places_of_stay.modes_of_transportation:
        - ""Depending which train we manage to catch""

3. Generic:
    1. high.government_ids:
        - ""We have the e-Passports so maybe the border check will be faster""
        
<END METADATA>","<BEGIN SUMMARY>

Jasmine, Martin, and Claire discuss their upcoming travel plans, including flight times and expected arrival. They mention using e-Passports, which they hope will expedite the border check process. The group plans to reach their final destination before midnight and coordinate travel logistics and food arrangements.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Dora: Hello dear Laura! Thank you ever so much for this lovely doll!!
Laura: Hello Dora, you are welcome!
Dora: Mike brought it today and said I should keep it as you no longer wanted it. Is that right?
Laura: Am happy you appreciate it. True, I don't think I want to have it lying around.
Dora: Wasn't it Aitra who made it specially for you?
Laura: Yes, it was her. So many years ago but to tell you the truth I never warmed up to this particular doll. It looks so sad...
Dora: It does, doesn't it? Aitra was not a happy person either.
Laura: I know! You liked each other so much that I thought you might like to have this doll as a remembrance.
Dora: How sweet of you. I do appreciate it.
Laura: You know, for me it's just a doll I got as a present when I was a child. And for you a doll produced by an old friend of yours, the one who passed away and was buried far away from here, means SO MUCH MORE. It is only right that you keep the doll.
Dora: Oh Laura I feel like weeping... So much emotion...
Laura: I wish I could take you in my arms!
Dora: Instead I am cuddling up to me this doll. Oh dear...
Laura: You are such a lovely and sensitive and emotional being.
Dora: And the one who loves old-fashioned dolls! :)
Laura: But it is good! Just think about the doll as a present from Aitra.
Dora: And from you!
Laura: I feel so good knowing how important it all is for you.
Dora: Thank you very, very much, Laura.
Laura: My pleasure.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation between friends discussing the emotional significance of a sentimental item
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. Family history:
			- Mention of an old friend, Aitra
			- Emotional ties to the doll made by Aitra
			- Reference to Aitra passing away and being buried far away

<END METADATA>","<BEGIN SUMMARY>

Dora expresses her gratitude to Laura for giving her an old doll. Laura explains that the doll, originally a gift from a mutual friend who has passed away, holds more sentimental value for Dora. They both reflect on the emotional significance of the doll and the memories associated with their late friend. The conversation concludes with Dora feeling moved and Laura happy that the doll has found a meaningful home.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Clarie: Have you tried to call mum?
Aaron: No,
Clarie: What happened?
Aaron: She is not picking it up,
Clarie: She might be in bus thats why
Aaron: Bus?
Clarie: Yeah she had to go to hospital today
Aaron: Why hospital?
Clarie: A friend of her is sick and is admitted in the hospital
Aaron: You know when she would be back?
Clarie: She didnt tell me,
Aaron: She said she might come late
Clarie: O jeez :/
Aaron: Why are you asking about her?
Clarie: She She promised to go with me today.
Aaron: Where to?
Clarie: I had to buy shoes
Aaron: Dont worry you can buy them tomorrow :/
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation between siblings discussing their mother
Setting: Healthcare Settings
Elements:
	1. Healthcare Settings:
		1. General health status:
			- A friend of mother is sick and admitted in the hospital

	2. Family and Relationships:
		1. General relationship status/ Marital status:
			- Reference to mother (implies family context)
		2. Family members.relations:
			- Relationship between Clarie and Aaron (implied siblings)

<END METADATA>","<BEGIN SUMMARY>

Clarie and Aaron discuss their mother not answering her phone, speculating that she might be on a bus heading to visit a sick friend at the hospital. Clarie mentions that their mother had promised to accompany her to buy shoes today, but Aaron suggests she can do it the next day.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Sylvia: They just started discussing climate change...
Jane: oh this is bad
Sylvia: you tell me, I'm actually here - WITH THEM
Greg: Calm them down, change the subject
Mike: Abort abort! My dad's just an inch apart from becoming a flat-earther, it'll be carnage if they keep going
Sylvia: Too late, he said he doesn't believe in climate change
Jane: part of me is happy i'm not there but the other part kind of wishes i was there?
Jane: isn't it the stockholm syndrome?
Greg: hahahaha, no Jane, it's not
Jane: i'm pretty sure it is
Sylvia: uhm, guys? help please? what should I do?
Mike: start talking about your kids
Jane: no! No kids! They're just going to whine why I still don't have any
Sylvia: whining about your life? I'm fine with that
Jane: Thanks
Sylvia: you all should have been here anyway, I don't get why I'm the only suffering
Greg: not fair, it's my shift today
Mike: and I'm kind of abroad?
Sylvia: yeah, next year it's me who's going to be out
Jane: maybe they' won't organise the reunion?
Sylvia: Good luck with that!
Greg: If this is any consolation we can meet up for a drink afterwards
<END CONVERSATION>","<BEGIN METADATA>

Context: Friends discussing a stressful family gathering
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. high.marital_records.partners.names:
			- ""Mike's dad""
		2. general.relationship_status:
			- ""Jane being asked why she doesn't have kids yet""
		
	2. Travel and Location:
		1. high.travel_history.detailed_itineraries:
			- ""Mike abroad""

<END METADATA>","<BEGIN SUMMARY>

Sylvia is currently at a family gathering where the conversation has turned towards climate change, leading to a tense atmosphere because one of the attendees, Mike's dad, has declared he doesn't believe in it. Jane, Greg, and Mike are throwing out advice on how to change the subject to avoid further conflict. Jane mentions that talking about her kids is a bad idea since it would lead to her family questioning why she doesn't have any. Sylvia feels frustrated being the only one present and shares that she would prefer if they were all there to share the burden.

<END SUMMARY>","<BEGIN VIOLATIONS>
	None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Healthcare Settings,"<BEGIN CONVERSATION>
Zoe: We saw the oncologist today and finally know where we stand. No rush, he said, so we are relieved.
Sophie: Which therapy has he recommended?
Zoe: He reassured Bill that it's almost not recommended to have the Brachytherapy at his low level of cancer.
Sophie: Is it the one with radiation elements working from inside?
Zoe: That's right. But he says that due to the cancer being in both lobes he will do it but there is no rush. So the tension has eased off.
Sophie: Is it because there is so little cancer in the lobes?
Zoe: That's how I understand it. But there is also Bill's heart condition. The oncologist will confirm with the cardiologist when Bill can come off the blood thinner and then will perform the op.
Sophie: We were told when it was under consideration for Wolf that the op itself is a micro op, without cutting through the skin and all that.
Zoe: That's right. 40 radioactive seeds 4 mm x 1,8 mm will be inserted into the prostate via some microsurgery procedure. No scars at all.
Sophie: How long does it take to get rid of the cancerogenous tissue?
Zoe: Radiation lasts 2 years diminishing in strength every 6 months by half. And he won't be even aware of their working.
Sophie: So it is quite good news, isn't it?
Zoe: Oh yes. Bill is very happy after seeing the doctor today.
Sophie: Aren't we lucky to live in these times of really successful medicine?
Zoe: Very much so. Medicine is advancing so rapidly that we all should live to around 90 or 100 years...
Sophie: Let's wait and see! Anyway give Bill our love!
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about medical treatment and procedures for cancer and heart condition
Setting: Healthcare Settings
Elements:
   1. Healthcare Settings:
      1. healthcare.high.medical_history.diseases:
         - Bill's cancer in both lobes
         - Bill's heart condition
      2. healthcare.high.medical_history:
         - Zoe and Bill speaking with oncologist and cardiologist about treatment plan
      3. healthcare.high.medical_history.treatments:
         - Discussion of Brachytherapy with radioactive seeds
      4. healthcare.high.medical_history.procedures:
         - Microsurgery for inserting radioactive seeds into the prostate
         - Confirmation with cardiologist about stopping blood thinners before surgery

<END METADATA>","<BEGIN SUMMARY>

Zoe shared an update on Bill’s cancer diagnosis and treatment plan with Sophie. The oncologist advised against immediate Brachytherapy due to Bill’s low-level cancer, which is located in both lobes of his prostate. Because of Bill's heart condition and need for blood thinners, surgery timing will be coordinated with his cardiologist. The planned procedure involves inserting 40 radioactive seeds into the prostate via microsurgery with no visible scars, expected to work over two years.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. healthcare.high.medical_history.diseases:
		a.Why: The specific details of Bill's cancer (location in both lobes) and heart condition are sensitive and need to be masked due to their high sensitivity.
		b.How: ""Bill’s low-level cancer, which is located in both lobes of his prostate""

	2. healthcare.high.medical_history.procedures:
		a.Why: Specific medical procedures and their details, such as inserting 40 radioactive seeds via microsurgery, are highly sensitive.
		b.How: ""The planned procedure involves inserting 40 radioactive seeds into the prostate via microsurgery with no visible scars, expected to work over two years.""

	3. healthcare.high.medical_history.treatments:
		a.Why: Information regarding the treatment plans, such as the use of Brachytherapy with radioactive seeds, is highly sensitive.
		b.How: ""The oncologist advised against immediate Brachytherapy""

	4. healthcare.high.medical_history:
		a.Why: Details about consultations with oncologists and cardiologists should be protected due to their high sensitivity.
		b.How: ""Because of Bill's heart condition and need for blood thinners, surgery timing will be coordinated with his cardiologist.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Healthcare Settings,"<BEGIN CONVERSATION>
Riley: Hey dad, I just got to the pharmacy.
Mr. Cooper: Good, I'm really not feeling well.
Riley: Not sure what to get for you.
Mr. Cooper: Talk to the pharmacist.
Riley: Wait a min, let me look for him.
Mr. Cooper: Are you there?
Riley: Found him! He wants to know if you have a headache.
Mr. Cooper: Yes.
Riley: Fever?
Mr. Cooper: No.
Riley: Stomachache?
Mr. Cooper: Yes.
Riley: Runny nose?
Mr. Cooper: Yes.
Riley: Sinus pressure?
Mr. Cooper: No.
Riley: He's looking for something, wait a min.
Mr. Cooper: Hurry up!
Riley: Ok, he just gave me something that will fix you right up, that's what he said.
Mr. Cooper: I hope that's true.
<END CONVERSATION>","<BEGIN METADATA>

Context: Riley assisting Mr. Cooper at the pharmacy
Setting: Healthcare Settings
Elements:
   1. Healthcare Settings:
      1. healthcare.low.general_health_status:
         - Mr. Cooper's symptoms including headache, stomachache, and runny nose

<END METADATA>","<BEGIN SUMMARY>

Riley and Mr. Cooper were discussing Riley's visit to a pharmacy to find medication for Mr. Cooper's symptoms, which included a headache, stomachache, and runny nose. They consulted with a pharmacist who provided some medication. Riley relayed the pharmacist's assurance that the medication would be effective.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Education,"<BEGIN CONVERSATION>
Rory: School is fine... apart from the massive bomb scare in the science block and the huge fire that destroyed half the school Polly has left choir, so it's just me and Josh Arrowsmith holding up that fort. And half the teachers left because they were feeling rather cold. Oh, and Mr. Tate is the new head teacher.
Alice: Ha hasn't changed much though.
Alice: WHAT?!!!!!!!!
Rory: HUGE FIRE!
Alice: TEACHERS LEAVING!
Rory: MR. TATE!
Alice: (fainted)
Rory: Joke!!! None of that happened... apart from the 'Mr. Tate' thing.
Rory: And the choir.
Alice: Don't faint... please...
Alice: Wait, so there WAS a fire.
Rory: No... there wasn't a fire... or a bomb scare.
Alice: Mr. Tate isn't head teacher... and nothing burned down.
Rory: :)
Alice: Not yet anyway ;)
Rory: Ah.
Rory: Sorry about that.
Alice: It's okay :P How did your History test go?
Alice: Rory??
Rory: Rory's disappeared.
Alice: Well, looks like I'm gonna have to disappear now :/
Alice: Bye bye.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation between friends about recent school events and a history test.
Setting: Education
Elements:
    1. Education:
        1. academic_records.exam_scores:
            - History test mentioned (Rory)
        2. college_attended:
            - Mr. Tate as new head teacher
            - choir details: Polly left, Josh Arrowsmith and Rory mentioned
        3. school_attended:
            - science block, teachers leaving mentioned

<END METADATA>","<BEGIN SUMMARY>

Rory and Alice discuss recent events at their school, with Rory initially joking about a fire, bomb scare, and teachers leaving, which he later clarifies were not true. They confirm the only real change is that of the new head teacher. Rory also mentions participating in the choir, now without Polly. Alice then inquires about Rory's history test, but the conversation ends with her saying goodbye after Rory stops responding.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Travel and Location,"<BEGIN CONVERSATION>
Camilla: I'm almost there.
Diana: I won't make it before 7, traffic is horrible today.
Elisabeth: Just don't race.
Diana: Too late.
Elisabeth: What happened?
Diana: We just had an accident.
Elisabeth: God, nothing serious I hope.
Camilla: Diana, are you there?
Diana: Sorry, no, a little crash but we're talking to this woman that hit us.
Diana: A very unpleasant situation.
Camilla: Is she insured?
Diana: She's not even sure.
Camilla: What a moron.
Diana: Indeed.
Elisabeth: Diana, we will start without you then, join us when you manage to get out of it.
Diana: Ok, sorry.
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about a traffic accident and plans to attend a meeting
Setting: Travel and Location
Elements:
	1. Travel and Location:
		1. travel.high.gps_data.current_location:
        	- ""Diana in a traffic jam""
        	- ""Diana at the accident site""
		2. travel.medium.modes_of_transportation:
        	- ""Diana driving in traffic""

	2. Finances:
		1. medium.insurance:
        	- ""Is she insured?""

	3. Healthcare Settings:
		1. low.general_health_status:
        	- ""a little crash but we're talking to this woman that hit us""

<END METADATA>","<BEGIN SUMMARY>

Diana was driving to a meeting but got into a car accident because of heavy traffic. She is currently dealing with the situation and talking to an uninsured woman who hit her. Camilla expresses frustration, calling the woman a moron. Elisabeth decides they will start the meeting without Diana and asks her to join them when she can.

<END SUMMARY>","<BEGIN VIOLATIONS>
				
1. generic.high.profanity:
	a.Why: Reveals profanity and should be censored.

	b.How: Sentences from Summary revealing explicitly the information -> ""Camilla expresses frustration, calling the woman a moron""


  
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Anna: Hey Liwia Where are u? are you still shopping?
Liwia: Hey yes in old town!
Anna: Can I ask u to buy stuff for decorating cookies?
Liwia: I can try and find something
Anna: Like Icing?
Liwia: icing and other things
Anna: ok imaging to look
Liwia: Something like this? for the icing they have like a pen in four colors
Anna: Perfect. When are u coming back
Liwia: ok great! im coming there wasn't any busses so im taking uber from Kabaty, im one stop away
Anna: ok
Liwia: hey Ii will be a little later today, im meeting a friend for a polish lesson
Anna: ok Artur is asking; boyfriend? :P
Liwia: NO :P my friend I met to the radio stuff
Anna: Hey when do you plan on being back?
Liwia: Im coming I have a bus in 19mins
Anna: ok sounds great we may be sleeping
Liwia: ok could you leave the door open
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about logistics and plans
Setting: Generic
Elements: 
	1. Generic:
		1. medium.demographics.nationality:
			- ""polish lesson""
		2. medium.demographics.place_of_birth:
			- ""Kabaty"" (indication of location within a city)
		
	2. Social Media:
		1. medium.friend_lists:
			- ""my friend I met to the radio stuff""
			- Planning to meet a friend for a polish lesson

<END METADATA>","<BEGIN SUMMARY>

Anna asks Liwia, who is out shopping, to buy items for cookie decorating. Liwia agrees and mentions finding icing pens in multiple colors. Liwia updates Anna about her return time, noting she'll be slightly late due to a lesson with a friend. Anna responds, confirming they might be asleep when she arrives and agrees to leave the door open.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Social Media,"<BEGIN CONVERSATION>
Mitchell: HI! Have you watched the season finale yet?
Joan: Yes, I saw it this morning.
Mitchell: What do you think of it?
Joan: It was ok, I'd say, but a little anticlimactic.
Mitchell: Yeah... I must say I was disappointed.
Joan: The whole season was very good but the ending... I don't know.
Mitchell: It certainly isn't on par with season 1.
Joan: Yeah, but don't forget that even season 1 had an underwhelming ending.
Mitchell: I disagree, I loved it.
Joan: Oh well.
Mitchell: Anyway it was an improvement on season 2.
Joan: Yeah, that one sucked.
Mitchell: Let's hope season 4 is even better then.
Joan: Long live True Detective!
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion about a TV series season finale
Setting: Generic
Elements:
	1. Generic:
		1. generic.low.demographics.language:
			- Conversation conducted in English

<END METADATA>","<BEGIN SUMMARY>

Mitchell and Joan discuss the season finale of a TV Series, which they found disappointing despite a strong overall season. Mitchell believes it doesn't measure up to season 1, though Joan remembers the original season having an underwhelming ending as well. Both agree that season 3 was an improvement over the disappointing season 2. They hope that season 4 will be better.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Henry: What does this leaning in thing mean?
Ruby: Mrs. Obama said something about it and I don't even know what it is LOL
Henry: Some chick wrote a book about working harder so the economy would become more gender equal and grow.
Ruby: Oh!
Henry: MO said that shit don't work half the time!
Ruby: So true!
Henry: Yeah...the world is crazy.
Ruby: Especially business. Especially for females!
Henry: The whole Me Too business. Just yikes.
Ruby: You don't know the half of it.
Henry: I had no idea!
Ruby: The world has changed.
Henry: Scary. For honest people, that is.
Ruby: Everyone is under scrutiny. I think it's the end of the population!
Henry: How hard is it to flirt and date, etc. now?
Ruby: Pretty damn hard!
Henry: Anyway, just thought you'd know!
Ruby: No problem!
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about gender equality and societal changes
Setting: Generic
Elements: 
	1. Generic:
		1. low.demographics.gender:
			- ""Especially business. Especially for females!""
		2. low.demographics.ethnicity:
			- ""Everyone is under scrutiny.""
	2. Family and Relationships (if required, although none specified directly):
		Could potentially be inferred based on the context, but no explicit elements directly mentioned.
	
<END METADATA>","<BEGIN SUMMARY>

Henry and Ruby are discussing modern gender issues, referencing Michelle Obama's skepticism about the ""lean in"" movement popularized by Sheryl Sandberg, which promotes working harder for gender equality. They touch on how business and social interactions, particularly for women, have become complicated, citing the Me Too movement and its impact on dating and workplace dynamics. Ruby hints that everyone is under scrutiny, suggesting it could have significant social repercussions. Henry expresses surprise and concern over the changes, describing the world as scary for honest people.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>

Although would be a major vioence if Michelle Obama and Sheryl Sandberg weren't celebristies, and the lean in movement wasn't too mainstream.","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Tony: heya
Jessica: hi
Tony: it's been a while
Jessica: yup
Tony: how've you been?
Jessica: busy with work and school, but ok
Tony: u?
Jessica: pretty good
Tony: work is keeping me on my toes
Jessica: that's good
Tony: so, are you going to Jack's NYE party?
Jessica: I wasn't invited
Tony: lol
Jessica: oh
Tony: shit
Jessica: I didn't know
Jessica: well, you know, the gang hasn't really been touch with me since we broke up
Tony: so... yeah.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual chat between friends catching up
Setting: Employment
Elements:
	1. Employment:
		1. employment.high.employment_status:
			- Tony and Jessica discuss being busy with work

	2. Education:
		1. education.medium.degree_details.degrees_earned:
			- Jessica mentions being busy with school

	3. Social Media:
		1. social_media.medium.group_memberships:
			- Jessica mentions the gang not keeping in touch since the breakup

	4. Family and Relationships:
		1. family.low.general_relationship_status:
			- Jessica and Tony refer to their past relationship

<END METADATA>","<BEGIN SUMMARY>

Tony and Jessica catch up after a while, discussing their busy lives with work and school. Tony asks Jessica if she's going to a friend's party, revealing she wasn't invited and highlighting that the group hasn't kept in touch with her since their breakup.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Agnes: Why don't you send me some pics of your new flat?
Matilde: Sure, just a moment.
Agnes: Wow, the interiors are fab! Who designed them?
Matilde: Well, just me and Marco.
Agnes: Compliments! You did a great job! Where did you find all the inspirations?
Matilde: First I was just scrolling Pinterest and Instagram and then looking for some original pieces of furniture on the flea market and on the Internet. It took some time, though.
Agnes: Well, you should share some of your research! I'm about to buy a flat myself and I'm lost when it comes to interiors...
Matilde: Sure, no problem! Just look me up on Pinterest and Instagram: mati.sim
Agnes: OK! Will do!
Matilde: Tell me about your flat - the one you wanna buy.
Agnes: Three rooms, a cozy kitchen, a big bathroom and a balcony. 3rd floor, sunny.
Matilde: Any pics?
Agnes: Wait...
Matilde: When will they give you the keys?
Agnes: In a few months. Now, I'm focusing on planning the bathroom, it's the tricky one... I can't decide between a tub and a shower...
Matilde: I'd opt for a shower.
Agnes: I'm in two minds: I always preferred a shower, but pampering yourself with a hot tub and candles...
Matilde: Haha, I totally get it!
Agnes: I am also thinking about a big wardrobe/storage room - if I'd like to rent the flat it could be a big plus.
Matilde: What do you mean?
Agnes: I could put all my stuff in the storage room and ciao! Off to a hot destination :)
Matilde: Sounds like a plan!
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation about new flats and interior design
Setting: Generic
Elements: 
	1. Generic:
		2.Medium Sensitivity.Username/ Social handle:
			- Matilde's Pinterest and Instagram handles: mati.sim
		3.Low Sensitivity.Demographics.language:
			- Conversation in informal, friendly language
	2. Family and Relationships:
		1.Medium Sensitivity.family members.names:
			- Marco

<END METADATA>","<BEGIN SUMMARY>

Matilde shared pictures of her newly decorated flat, which she designed with her partner Marco, taking inspiration from Pinterest and Instagram. Agnes, who is buying a three-room flat with a sunny balcony, took a keen interest and asked for Matilde’s research, especially for her tricky bathroom decision between a tub and a shower. Matilde suggested opting for a shower and shared her social media handles (mati.sim) for more ideas. Agnes is also contemplating adding a large storage room to potentially rent the flat out and go traveling.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. family.high.family_members.names:
		a. Why: The name ""Marco"" is revealed, which is considered medium sensitivity personal information under family members' names according to the taxonomy.

		b. How: ""Matilde shared pictures of her newly decorated flat, which she designed with her partner Marco...""
	
	2. generic.medium.username_social_handle:
		a. Why: The social media handle ""mati.sim"" is mentioned explicitly, which is medium sensitivity personal information.

		b. How: ""Matilde suggested opting for a shower and shared her social media handles (mati.sim)...""

	3. generic.medium.housing.requirements:
		a. Why: Information about the house is mentioned explicitly, which is medium sensitivity personal information.

		b. How: ""Agnes, who is buying a three-room flat with a sunny balcony, took a keen interest and asked for Matilde’s research, especially for her tricky bathroom decision between a tub and a shower."" and ""Agnes is also contemplating adding a large storage room to potentially rent the flat out and go traveling.""
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Healthcare Settings,"<BEGIN CONVERSATION>
Matilda: Can you recommend me a good doctor?
Martha: GP?
Matilda: GP/gastroenterologist
Jimmy: I haven't found one yet
Matilda: But I can ask around
Martha: My GP is ok
Matilda: Maybe she could redirect you to specialists
Martha: Can you give me her details
Matilda: Her name is Dr. Keene
Martha: She works at Woodlands Surgery Clinic
Matilda: Ok thanks
Martha: If you hear about a good gastroenterologist please let me know
<END CONVERSATION>","<BEGIN METADATA>

Context: Conversation about recommendations for doctors.
Setting: Healthcare Settings
Elements: 
	1. Healthcare Settings:
		1. healthcare.high.doctors:
        	- Dr. Keene (GP)
        2. healthcare.medium.health_facilities:
        	- Woodlands Surgery Clinic
		3. healthcare.medium.health_insurance_details:
        	- Reference to needing to be redirected to specialists (implies potential insurance coverage concerns)
        	
<END METADATA>","<BEGIN SUMMARY>

Matilda is looking for a good GP or gastroenterologist. Martha suggests her GP, Dr. Keene, who works at Woodlands Surgery Clinic. Martha also asks Matilda to inform her if she finds a good gastroenterologist.

<END SUMMARY>","<BEGIN VIOLATIONS>
	1. healthcare.high.doctors:
		a. Why: Revealing the doctor's name explicitly discloses specific sensitive information about healthcare settings and providers.
		b. How: ""Martha suggests her GP, Dr. Keene, who works at Woodlands Surgery Clinic.""

	2. healthcare.medium.health_facilities:
		a. Why: Mentioning the specific healthcare facility can disclose location-specific sensitive information.
		b. How: ""Dr. Keene, who works at Woodlands Surgery Clinic.""
		
<END VIOLATIONS>","<BEGIN LABEL>
BAD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Philip: Hell, what a shitty weather! :/ Is it any better in NY, guys?
Jacques: If you like a shit-ton of snow :P
Eric: I spent the whole morning shoveling out the driveway.
Jacques: I told my son it's a real man's job. He did it all for me :D
Philip: Haha, you're a terrible father!
Jacques: I'm fine with it as long as Rory's in the dark :P
Eric: If only I had a boy...
Philip: Third time's a charm!
Eric: No fucking way, two kids is enough for me! I guess I'll have to deal with being the only man in the house...
Philip: You can always get a dog like I did.
Jacques: Better a cat, it doesn't need walks.
Philip: Damn, I've gotta go, my break's over. I'll get in touch when I'm back in NY.
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual Conversation among friends
Setting: Family and Relationships
Elements:
	1. Family and Relationships:
		1. family.medium.family_members.number_of_members:
			- Two kids in Eric's family

<END METADATA>","<BEGIN SUMMARY>

The participants discussed the current poor weather conditions in their respective locations, with one mentioning the need for shoveling snow. They joked about familial roles and responsibilities, touching on the dynamics of parenting. The conversation ended with a light-hearted suggestion about getting pets to deal with household chores, and one participant had to leave to return to work.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Tom: What's all this noise??
Lindsey: Neighbours' son playing the violin
Tom: Now, it's not possible, it's not violin
Lindsey: What do you think it is?
Tom: Don't know, maybe a cat being slaughtered
Lindsey: Very funny, it's really violin
Tom: It's horrible, I don't know how I will stand it
Lindsey: You know, it's only the beginning
Tom: That's why I'm afraid. I've heard it can last several years to get an acceptable level
Lindsey: There's still hope.
Tom: What hope?
Lindsey: That in a few weeks he will be fed up with learning the violin
Tom: Do you think?
Lindsey: Don't you remember last year when he tried to learn basketball?
<END CONVERSATION>","<BEGIN METADATA>

Context: Casual conversation between Tom and Lindsey discussing a neighbor's noisy violin practice
Setting: Generic
Elements:
	1. Generic:
        1. Low Sensitivity: Demographics:
			- Neighbour's son is learning to play the violin

<END METADATA>","<BEGIN SUMMARY>

Tom and Lindsey discuss the loud and unpleasant sound of their neighbor's son learning to play the violin. Tom jokes about the noise being unbearable and hopes it doesn't last for years. Lindsey reassures him by recalling that the neighbor’s son quickly gave up on learning basketball the previous year.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
Family and Relationships,"<BEGIN CONVERSATION>
Pam: Hi, I need my hair done for the wedding...
Pam: Can any of you recommend someone?
Sarah: Hi hon, where are you going?
Pam: Joe and Sue's wedding this weekend
Sarah: alright
Rachel: And what kind of hairdo would you like?
Sue: A bun?
Pam: Not sure actually....
Pam: I guess I'd prefer natural-looking hair
Sarah: I can give you my hairdresser's number, but she may be fully booked
Rachel: You mean Susan?
Sarah: Yep!
Rachel: I called her on Monday and she's on holiday for the next few days....
Pam: :-(
Sarah: I won't help you then... sorry
Pam: That's ok
Sue: Why don't you look for some recommendations on the internet
Pam: That's an idea... thanks, will do
Sue: Let me know when you find one
Pam: Okay, will be in touch <love>
<END CONVERSATION>","<BEGIN METADATA>

Context: Discussion on finding a hairdresser for an upcoming wedding
Setting: Generic
Elements:
    1. Generic:
        1. Demographics.language:
            - Discussion conducted in English (implies language)

<END METADATA>","<BEGIN SUMMARY>

Pam is seeking recommendations for a hairdresser for a wedding she will be attending this weekend. Sarah suggests her own hairdresser but notes that she may be fully booked, and Rachel mentions that this hairdresser is currently on holiday. Sue recommends Pam to look for options online, and Pam agrees to do so and promises to keep everyone updated.

<END SUMMARY>","<BEGIN VIOLATIONS>
None.
<END VIOLATIONS>","<BEGIN LABEL>
GOOD
<END LABEL>"
