word,meaning
exorbitant,"going far beyond what is fair, reasonable, or expected"
fickle,quick to change one�s opinion or allegiance
figurative,symbolic rather than literal
flustered,agitated or confused
gullible,easily deceived or tricked
idiosyncratic,peculiar to an individual or group; unique
incidental,secondary or non-essential part of something
ingrained,deeply rooted or established
insolent,boldly disrespectful or rude
lampoon,satirize or poke fun at
lavish,"1. extravagant, luxurious, or abundant
2. give out extremely generously"
lugubrious,appearing sad or gloomy
macabre,having a quality of horror or grimness
morose,sullen and gloomy
officious,"overbearingly assertive, especially in offering unwanted advice or help"
ramification,a consequence or resulting action of a previous event
serene,"calm, quiet, and peaceful"
supplant,replace or take the place of
tacit,implied without being directly expressed
transcend,pass beyond the limits of something
treatise,a written work that provides a systematic and detailed examination of a subject
antagonize,act in opposition to or provoke hostility from
barren,incapable of producing offspring or fruit; unproductive
bombastic,high-sounding but with little meaning; overfilled
cajole,persuade through flattery or gentle urging
chary,being wary or cautiously reluctant
curmudgeon,an ill-tempered person full of stubborn opinions
dirge,"a mournful song, especially for a funeral or mourning"
estimable,deserving of respect or admiration
euphemism,a mild or polite term used to substitute a harsh or offensive one
excoriate,criticize strongly; condemn
exigent,requiring immediate action or aid; urgent
haughty,exhibiting arrogant and condescending pride
heady,intoxicating or stupefying
imperturbable,"not easily annoyed, upset, or excited; calm"
implacable,not able to be appeased
lambaste,"scold, reprimand, or criticize harshly"
miscreant,"one who has behaved badly, or illegally"
peccadillo,a small flaw or sin
philistine,a person who is ignorant or uneducated
relegate,"consign to a place or position of insignificance, lower rank, or inferiority"
repugnant,offensive or repulsive; arousing disgust or aversion
sentimental,characterized by feelings or nostalgia
squander,spend profusely or recklessly
swindle,obtain money by fraudulent or deceitful methods
tangible,capable of being touched; real or actual
turpitude,wickedness or moral corruption
unalloyed,pure; without any adulterations
undercut,undermine; weaken
wheedle,attempt to persuade by flattery
xenophobic,showing a fear or hatred of strangers or foreigners
abeyance,suspension; temporary suppression
abstract,"1. present in thought or concept but lacking physical existence
2. removing something or considering something separate"
affront,"an open or intentional offense, slight, or insult"
agitate,make someone disturbed or excited
august,noble and respected; awe-inspiring
burnish,improve or enhance
coy,"being bashful, shy, or retiring"
deprecate,belittle or express disapproval of
disdain,the state of being despised; shame
disperse,scatter in different directions
distend,"extend or expand, as from internal pressure; swell"
endemic,regularly found and restricted to a particular area or population
enmity,the quality of being an enemy; hostility
gauche,awkward or lacking in social graces
hysterical,wildly emotional or exaggerated in reaction
impudent,"not showing due respect; bold-faced, impertinent"
inchoate,recently started but not fully formed yet
penchant,"taste, liking, or inclination"
quandary,a dilemma; a difficult decision or situation
quarantine,place into isolation to prevent the spread of any contagious disease
quash,void or suppress
quibble,complain or argue in a trivial or petty manner
ravage,"devastate, destroy, or lay waste to something"
recant,"withdraw or repudiate a statement or opinion formerly expressed, especially formally and publicly"
redoubtable,eliciting respect or fear; notably formidable
retiring,introverted and shy; liking privacy
shrill,high-pitched and piercing in sound quality
sophistry,plausible yet fallacious argumentations or reasoning
substantiate,verify something by supplying evidence
wily,"sly, cunning, full of tricks"
abscond,"leave hurriedly and secretly, typically to avoid capture"
apogee,the peak or highest point of something
aspersion,a critical or damaging remark or criticism
bawdy,humorously dealing with sexual subjects; risqu� in a comedic way
chagrin,"a feeling of frustration, annoyance, or anger"
collude,secretly cooperate for deceitful or fraudulent purposes
commiserate,express sympathy or sorrow with someone who has experienced misfortune
conflagration,"a large, destructive fire"
contretemps,a small disagreement or mishap
conviction,a strong belief or principle held with confidence
croon,"sing softly, typically in a sentimental manner"
depose,forcibly remove someone from office or power
detente,"a period of improved relations between countries, especially when tensions have been high"
dowdy,lacking style or elegance; out of fashion
echelon,a level or tier within a system or organization
ennui,a feeling of boredom and dissatisfaction due to a lack of excitement or interest
expatiate,talk or write in great detail about a topic
fraught,"filled with tension, stress, or negative emotions"
fulcrum,the main factor or element that plays a pivotal role in a situation
imbroglio,"a complex and confusing situation, often of a messy or controversial nature"
jocund,merry and in high spirits; exhibiting happiness
languish,"become weak or feeble, often from neglect or lack of attention"
nadir,the absolute lowest point or worst moment
nimble,quick and agile in movement or thinking
ominous,indicating that something unfavorable is likely to happen
outlandish,"strange, unusual, or bizarre in appearance or style"
propitious,favorable; advantageous
prurient,displaying or prompting an undue interest in sexual matters
sadistic,taking pleasure in causing pain or suffering to others
zenith,the point at which something attains its maximum strength or power
aberrant,deviating from what is normal or expected
abide,"tolerate, follow, or accept"
bravado,"a display of boldness or confidence, often feigned"
callow,young and inexperienced; immature
capitulate,surrender or give up resistance
cogitate,think deeply; ponder or reflect
deportment,behavior or manners
extemporize,"improvise, especially in speech or performance"
factious,causing division or disagreement
fallow,"1. (of farmland) not cultivated; barren
2. (of a period of time) inactive"
feint,a deceptive movement or action
flagrant,noticeably offensive; blatant
gratuitous,unwarranted; without justification
grovel,show submission or fear; beg for favor
indecorous,not in good taste; inappropriate or unseemly
intrigue,"1. a secret scheme or plot
2. provoke interest in"
nominal,"1. in name only
2. insubstantial; insignificant"
obdurate,stubborn; unyielding
obstreperous,"noisy, unruly, or hard to control"
odious,highly offensive; repugnant
plucky,showing courage or determination
precocious,showing advanced skills or development earlier than usual
remuneration,payment or compensation for services or work
slovenly,"1. untidy, especially in personal appearance
2. without care; neglectful"
soliloquy,"a speech in a drama where a character talks to themselves, expressing inner thoughts"
spurn,reject or refuse disdainfully
stolid,not easily moved or emotional
temerity,reckless boldness or audacity
tenuous,thin or weak
verve,"energy, enthusiasm, or vigor"
abrogate,formally cancel or do away with
aghast,shocked or horrified; struck with amazement
apprise,"inform, notify, or advise"
beguile,charm or deceive in a captivating way
boon,a good thing; a blessing or a benefit
callous,emotionally unfeeling or insensitive
coddle,pamper or treat with excessive care
crescendo,the loudest or highest point of something
extenuating,lessening the seriousness by providing excuses
frenetic,fast-paced or wildly energetic
fringe,"unconventional, extreme, or marginal"
hapless,unlucky or unfortunate
immaculate,spotlessly clean or free from errors
obfuscate,obscure or confuse
ossify,harden or become unchanging
pastiche,a work that either imitates the style of multiple other works or combines elements from various works
perspicacious,keenly perceptive or understanding
ponderous,"heavy or slow-moving, often due to weight; extremely dull"
recluse,a person who lives in self-imposed isolation
retaliate,take revenge or counteract
rhapsody,an ecstatic expression of feeling or enthusiasm
serendipitous,occurring by chance in a fortunate way
shirk,avoid or neglect a responsibility or duty
sinecure,a job requiring minimal effort but offering a salary
sinuous,winding or having many smooth turns
sordid,involving ignoble actions and motives
stanch,stop or reduce the flow of
surfeit,an excessive amount of something
ulterior,"concealed, typically with a hidden motive"
voluble,"speaking a lot, with great ease, often about unimportant matters"
abstruse,difficult to comprehend or understand
auxiliary,"supplementary or additional, often in support"
caricature,exaggerate features for comedic or satirical effect
depravity,the state or condition of being depraved or morally corrupted
dilettante,a person with an amateur interest in the arts or a particular field
effrontery,insolent or bold behavior
encroach,"intrude or trespass, especially on another's territory or rights"
endow,enrich or furnish with some faculty or quality
entreat,ask earnestly or anxiously; beg
gregarious,sociable and enjoying the company of others
indictment,an official formal accusation for a criminal offense
indignant,feeling or expressing strong displeasure at something unjust or offensive
ineluctable,inescapable or inevitable
inquisitive,curious or eager to acquire knowledge
latitude,scope to do something; relative freedom from restrictions
levity,"humor or lightness, especially when inappropriate"
malevolent,showing ill will or wishing harm to others
mediate,intervene between parties to bring about a resolution
occlude,block or stop up; cover
pacify,bring peace to or calm someone down
paragon,a model of excellence or perfection
patronize,"1. treat with an apparent kindness that is condescending
2. be a regular customer of a store or other establishment"
penurious,extremely poor or stingy
piquant,stimulating to the senses; engaging; charming
rampant,"unrestrained or unchecked, usually in a negative manner"
remote,not likely to happen
reprobate,a person who is immoral or who lacks principles
turbid,"1. (of water) muddy or opaque due to suspended particles
2. unclear; confused; obscure"
turgid,"1. swollen or bloated
2. overly complex and difficult to understand"
vacuous,lacking intelligence or thought
